event,catalog,waveform,erad_strategy,M_total_Msun,M_chirp_Msun,mass_ratio,E_rad_Msun,chi_eff,redshift,lum_dist_Mpc,n_seraphim,n_sph_std,n_sph_samples,n_carrier,n_BBH_theory,log2_M,gap,alpha_inv,delta_alpha
GW230927_153832,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,38.5156,16.4372,0.7442,1.808,0.0406,0.2278,1167.9873,5.356826,0.037012,14161,136.899304,5.313987,5.267372,131.542478,137.035999,-5.493521
GW230928_215827,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,87.6395,35.7239,0.5473,4.9588,0.4204,0.6974,4358.8838,5.500549,0.164221,19357,138.085442,5.313987,6.45351,132.584893,137.035999,-4.451106
GW230930_110730,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,58.9969,24.8918,0.7395,2.6986,0.0277,0.7619,4856.8996,5.343906,0.11467,11732,137.514498,5.313987,5.882566,132.170592,137.035999,-4.865407
GW231001_140220,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,116.328,46.7561,0.5203,4.4421,-0.0479,0.673,4173.3257,5.209786,0.184435,16041,138.493987,5.313987,6.862055,133.284201,137.035999,-3.751799
GW231004_232346,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,101.6706,40.7,0.5135,3.803,-0.0512,0.6567,4050.1858,5.201039,0.189241,15804,138.299691,5.313987,6.667759,133.098652,137.035999,-3.937347
GW231005_021030,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,131.5903,53.4136,0.5768,5.8031,0.1123,0.939,6278.9327,5.317988,0.187815,13730,138.671841,5.313987,7.039909,133.353854,137.035999,-3.682145
GW231005_091549,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,50.6423,21.4966,0.7724,2.2451,-0.0384,0.5938,3584.5482,5.324195,0.107264,12902,137.294203,5.313987,5.662271,131.970008,137.035999,-5.065991
GW231008_142521,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,71.2554,28.9099,0.5675,2.8375,-0.0252,0.4817,2786.77,5.254499,0.184565,16800,137.786859,5.313987,6.154928,132.532361,137.035999,-4.503638
GW231014_040532,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,35.8834,15.0755,0.7162,1.7676,0.1813,0.3994,2231.0905,5.396424,0.13671,16903,136.797178,5.313987,5.165246,131.400754,137.035999,-5.635245
GW231018_233037,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,19.0923,7.911,0.6234,0.8141,0.0148,0.2877,1523.5745,5.299404,0.110297,15611,135.886854,5.313987,4.254922,130.58745,137.035999,-6.448549
GW231020_142947,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,19.8618,8.0709,0.6071,0.8828,0.1512,0.2383,1228.753,5.344919,0.155384,14942,135.943856,5.313987,4.311924,130.598937,137.035999,-6.437062
GW231028_153006,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,152.9012,64.299,0.6998,9.8729,0.4957,0.7177,4514.3758,5.5859,0.129417,15128,138.888388,5.313987,7.256456,133.302488,137.035999,-3.733511
GW231029_111508,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,106.0689,44.0481,0.6231,4.9773,0.1453,0.5145,3015.4656,5.356299,0.161173,13488,138.36079,5.313987,6.728858,133.00449,137.035999,-4.031509
GW231102_071736,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,104.652,44.4813,0.7049,4.9825,0.074,0.5985,3618.9162,5.363654,0.093359,15330,138.341388,5.313987,6.709456,132.977734,137.035999,-4.058265
GW231104_133418,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,21.0329,8.8535,0.7054,1.0135,0.1455,0.2781,1465.1652,5.388139,0.071936,13042,136.026507,5.313987,4.394575,130.638368,137.035999,-6.397631
GW231108_125142,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,40.6547,17.3451,0.7533,1.7885,-0.0763,0.3717,2050.6583,5.31068,0.047906,16031,136.977283,5.313987,5.345351,131.666603,137.035999,-5.369396
GW231110_040320,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,32.5224,13.4722,0.6222,1.5352,0.1746,0.3393,1843.5409,5.369673,0.083975,16586,136.655294,5.313987,5.023362,131.285621,137.035999,-5.750378
GW231113_122623,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,68.2932,28.4721,0.6797,3.7981,0.3648,0.5524,3284.9727,5.491743,0.161842,17278,137.725602,5.313987,6.09367,132.233859,137.035999,-4.80214
GW231113_200417,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,19.1418,8.021,0.6585,0.8909,0.1253,0.224,1146.2096,5.36529,0.087618,13984,135.890585,5.313987,4.258653,130.525294,137.035999,-6.510705
GW231114_043211,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,31.5127,11.6527,0.353,0.9901,0.091,0.2551,1327.506,5.070178,0.15013,17986,136.609793,5.313987,4.977861,131.539615,137.035999,-5.496384
GW231118_005626,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,31.8307,12.7915,0.4912,1.6097,0.3929,0.3789,2097.2885,5.412667,0.114883,17887,136.624277,5.313987,4.992345,131.21161,137.035999,-5.824389
GW231118_071402,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,73.8933,31.1009,0.7139,3.5638,0.1278,0.6598,4073.8943,5.381256,0.139944,15567,137.839303,5.313987,6.207371,132.458047,137.035999,-4.577952
GW231118_090602,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,21.2289,8.3699,0.4902,0.8481,0.1195,0.262,1368.9867,5.258801,0.266069,17286,136.039893,5.313987,4.407961,130.781092,137.035999,-6.254907
GW231119_075248,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,82.3292,34.5356,0.73,3.641,-0.0005,0.9702,6537.5322,5.326772,0.151216,14216,137.995264,5.313987,6.363332,132.668492,137.035999,-4.367507
GW231123_135430,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source,243.2756,102.3297,0.6222,10.5362,0.0391,0.1712,849.531,5.295662,0.076309,19980,139.55838,5.313987,7.926448,134.262718,137.035999,-2.773281
GW231127_165300,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,74.4822,30.555,0.6182,3.2099,0.0406,0.6912,4311.5576,5.305897,0.189981,14592,137.850756,5.313987,6.218825,132.544859,137.035999,-4.49114
GW231129_081745,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,69.5676,28.1396,0.536,2.8323,0.0274,0.5956,3597.6601,5.262584,0.160435,14785,137.752276,5.313987,6.120344,132.489692,137.035999,-4.546307
GW231206_233134,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,62.6127,26.8967,0.8147,2.7995,-0.0901,0.5452,3233.4726,5.317787,0.07223,13230,137.600315,5.313987,5.968383,132.282528,137.035999,-4.753471
GW231206_233901,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,66.5665,28.4168,0.7725,3.0305,-0.0293,0.2811,1483.1204,5.336658,0.064416,15034,137.688657,5.313987,6.056725,132.351998,137.035999,-4.684001
GW231213_111417,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,62.6177,26.7593,0.7945,3.0451,0.0767,0.6546,4035.0627,5.380196,0.090402,14380,137.60043,5.313987,5.968499,132.220235,137.035999,-4.815764
GW231221_135041,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,77.258,31.2259,0.6404,3.2714,0.0393,0.7017,4391.6806,5.298569,0.200769,16198,137.903545,5.313987,6.271613,132.604977,137.035999,-4.431023
GW231223_032836,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,77.5766,32.3248,0.6994,3.0752,-0.1616,0.6415,3936.5365,5.239425,0.168712,15011,137.909481,5.313987,6.277549,132.670056,137.035999,-4.365943
GW231223_075055,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,19.0328,7.8136,0.5625,0.8025,0.0721,0.1914,960.9307,5.290732,0.137727,18392,135.882346,5.313987,4.250414,130.591613,137.035999,-6.444386
GW231223_202619,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,19.7013,8.3771,0.7469,0.9437,0.105,0.1776,884.3656,5.378161,0.068184,13892,135.932153,5.313987,4.300221,130.553992,137.035999,-6.482007
GW231224_024321,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,16.6908,7.141,0.7826,0.7696,-0.0052,0.1883,943.8509,5.348177,0.037431,16775,135.69291,5.313987,4.060978,130.344733,137.035999,-6.691267
GW231226_101520,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,75.1941,32.5575,0.878,3.4588,-0.0738,0.2278,1168.1744,5.339032,0.025818,15030,137.86448,5.313987,6.232548,132.525448,137.035999,-4.510551
GW231230_170116,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,87.7908,36.7309,0.7024,3.4059,-0.2167,0.8681,5700.1833,5.228653,0.183052,15694,138.08793,5.313987,6.455998,132.859277,137.035999,-4.176722
GW231231_154016,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,40.0007,17.109,0.7656,1.805,-0.0286,0.2087,1058.3816,5.33127,0.045913,13245,136.953885,5.313987,5.321953,131.622615,137.035999,-5.413384
GW240104_164932,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,75.2684,32.1979,0.7785,3.7528,0.1255,0.3506,1915.091,5.398803,0.080533,14325,137.865905,5.313987,6.233973,132.467102,137.035999,-4.568897
GW240107_013215,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,89.5545,34.6195,0.4983,4.2125,0.3387,0.8746,5752.7677,5.369864,0.282283,18048,138.116626,5.313987,6.484694,132.746761,137.035999,-4.289238
GW240109_050431,GWTC-4,C00:IMRPhenomXPHM-SpinTaylor,M_total - final_mass_source_non_evolved,47.299,19.7099,0.6168,1.9242,-0.076,0.2758,1451.5962,5.257511,0.085999,15285,137.19567,5.313987,5.563738,131.938159,137.035999,-5.09784
